Ticker,Date/Time,vni_close,vni_high,vni_low,vni_pct_chg,vni_rsi,basis_pct,advance,decline,ceiling,floor,total_stocks,above_ma50,ema_cross,volume,parkinson_vol,vol_ratio,ad_ratio,thrust_pct
VNINDEX,5/19/2026 00:00:00,1912.93,1933.11,1904.47,-0.78,64.53,0.99,29,74,2,8,113,54,51,904.03,1.00,1.26,0.39,8.85
VNINDEX,5/20/2026 00:00:00,1913.23,1919.39,1859.22,0.02,64.58,0.06,26,83,1,1,113,46,48,1078.69,1.15,1.46,0.31,1.77
VNINDEX,5/21/2026 00:00:00,1896.89,1923.21,1886.62,-0.85,59.20,0.62,42,59,2,0,113,49,49,562.76,1.17,0.76,0.71,1.77
VNINDEX,5/22/2026 00:00:00,1877.13,1896.74,1856.08,-1.04,53.40,1.02,41,61,1,0,113,48,45,650.59,1.22,0.89,0.67,0.88
VNINDEX,5/25/2026 00:00:00,1886.03,1891.26,1876.37,0.47,55.51,-0.58,51,48,0,0,113,48,45,495.19,1.16,0.68,1.06,0.00
VNINDEX,5/26/2026 00:00:00,1884.18,1889.15,1876.32,-0.10,54.95,-0.27,79,28,2,0,113,57,49,598.84,1.13,0.84,2.82,1.77
VNINDEX,5/27/2026 00:00:00,1874.43,1889.87,1861.05,-0.52,51.99,0.52,34,65,0,0,113,56,48,667.18,1.08,0.93,0.52,0.00
VNINDEX,5/28/2026 00:00:00,1863.67,1882.66,1857.25,-0.57,48.85,1.25,14,86,1,0,113,47,45,602.30,1.02,0.84,0.16,0.88
VNINDEX,5/29/2026 00:00:00,1863.49,1873.17,1855.96,-0.01,48.80,-0.35,28,72,1,1,113,41,42,554.91,1.01,0.78,0.39,1.77
VNINDEX,6/1/2026 00:00:00,1846.26,1871.09,1842.56,-0.92,43.89,0.66,49,50,0,0,113,44,37,314.30,1.03,0.45,0.98,0.00
